Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Population,Continent
Bermuda,169.0,0.0,9.0,0.0,153.0,7.0,0.0,43629.0,62239.0,NorthAmerica
Brunei,144.0,0.0,3.0,0.0,139.0,2.0,0.0,51741.0,438168.0,Asia
Seychelles,136.0,0.0,0.0,0.0,127.0,9.0,0.0,0.0,98448.0,Africa
Monaco,131.0,0.0,1.0,0.0,89.0,41.0,1.0,51953.0,39288.0,Europe
Liechtenstein,107.0,0.0,1.0,0.0,97.0,9.0,0.0,900.0,38146.0,Europe
Antigua and Barbuda,94.0,0.0,3.0,0.0,91.0,0.0,1.0,1900.0,98063.0,NorthAmerica
Curaçao,68.0,1.0,1.0,0.0,35.0,32.0,0.0,1080.0,164205.0,NorthAmerica
St. Vincent Grenadines,60.0,0.0,0.0,0.0,57.0,3.0,0.0,3472.0,110999.0,NorthAmerica
British Virgin Islands,47.0,0.0,1.0,0.0,8.0,38.0,0.0,2853.0,30264.0,NorthAmerica
Macao,46.0,0.0,0.0,0.0,46.0,0.0,0.0,4071.0,650774.0,Asia
Fiji,28.0,0.0,2.0,0.0,23.0,3.0,0.0,6693.0,897520.0,AustraliaOceania
Timor-Leste,27.0,0.0,0.0,0.0,25.0,2.0,0.0,5146.0,1322461.0,Asia
Saint Lucia,26.0,0.0,0.0,0.0,25.0,1.0,0.0,5471.0,183767.0,NorthAmerica
Grenada,24.0,0.0,0.0,0.0,24.0,0.0,0.0,6252.0,112610.0,NorthAmerica
New Caledonia,23.0,0.0,0.0,0.0,23.0,0.0,0.0,12618.0,285949.0,AustraliaOceania
Laos,22.0,0.0,0.0,0.0,21.0,1.0,0.0,39063.0,7292676.0,Asia
Dominica,20.0,0.0,0.0,0.0,18.0,2.0,0.0,2077.0,72016.0,NorthAmerica
St. Barth,18.0,0.0,0.0,0.0,13.0,5.0,0.0,2075.0,9882.0,NorthAmerica
Saint Kitts and Nevis,17.0,0.0,0.0,0.0,17.0,0.0,0.0,1564.0,53261.0,NorthAmerica
