,time,tweets
93,Mon Sep 28 13:32:36 +0000 2020,"RT @marinaadias: Tem mais Carolina do Norte na @folha 👇🏻👇🏻👇🏻

Dirigi até Fayetteville, cidade com uma das maiores bases militares do mundo.…"
94,Mon Sep 28 13:32:36 +0000 2020,"RT @katieporteroc: Here’s how much President Trump paid in federal income tax in 2005, 2006, 2007, 2008, 2011, 2012, 2013, and 2014:

    💲…"
95,Mon Sep 28 13:32:36 +0000 2020,"RT @TimHannan: Reminder that the same day Donald Trump sold a Florida property for 25M above market rate in 2008, the Trump Org registered…"
96,Mon Sep 28 13:32:36 +0000 2020,RT @Feminina: 🗣𝗟𝗘𝗧 𝗧𝗛𝗘 𝗗𝗥𝗨𝗚 𝗧𝗘𝗦𝗧𝗜𝗡𝗚 𝗕𝗘𝗚𝗜𝗡‼️
97,Mon Sep 28 13:32:36 +0000 2020,@thejtlewis If trump wore one maybe he would say all the stupid things that come out of his thieving lying mouth.
98,Mon Sep 28 13:32:36 +0000 2020,RT @kenklippenstein: Thank god it’s just Trump and not virtually every rich person https://t.co/Dmb21w1aoh
99,Mon Sep 28 13:32:36 +0000 2020,"RT @rowdydowdys1: How can anyone that is sane, vote for this complete idiot? Biden is as corrupt as the last democrat that unsuccessfully r…"
100,Mon Sep 28 13:32:37 +0000 2020,"RT @gregolear: $109,433
What Trump wrote off as expenses for “silver and linens” at Mar-a-Lago in 2017.

$130,000
What Trump paid in “hush…"
101,Mon Sep 28 13:32:37 +0000 2020,"RT @MariaTeresa1: 2016 taxes:

Trump paid $750.00

Undocumented workers paid $27,000,000,000.00"
102,Mon Sep 28 13:32:37 +0000 2020,"RT @SamValley: Why is @jaketapper interviewing Jill Biden, and not Joe Biden?"
103,Mon Sep 28 13:32:37 +0000 2020,"RT @DanAlexander21: 12/ In Chicago, Trump lists two loans on his financial disclosure report. One for $25-50M and one for $50M+. These are…"
104,Mon Sep 28 13:32:37 +0000 2020,@Eggymceggerson3 But I give up. I've been saying from the beginning that you're antagonizing the left for no reason… https://t.co/hC54L8WgIX
105,Mon Sep 28 13:32:37 +0000 2020,"RT @In2rug4uMcguire: @Preciouslindy @leemack2 Very disappointed that they caved all it’s going to do is make them look weak, and only cause…"
106,Mon Sep 28 13:32:37 +0000 2020,RT @brianklaas: The other sinister aspect of the Trump tax story is that his finances are so bad that it raises the possibility he systemat…
107,Mon Sep 28 13:32:37 +0000 2020,"RT @Lrihendry: Has anyone seen a Biden supporter post anything pro-Biden, not just anti-Trump."
108,Mon Sep 28 13:32:37 +0000 2020,"RT @SantaSurfing17: Thanks to Anons...this 73 second clip has 10 booms! 
Thank you Anons! 
See replies for the 4 other hints!"
109,Mon Sep 28 13:32:37 +0000 2020,RT @Paul_VanDerMeer: Hereby I would very much like to nominate the person who leaked Donald Trump’s tax returns for the Nobel Peace prize.
110,Mon Sep 28 13:32:37 +0000 2020,"RT @AhmedBaba_: Now that we have reporting from the New York Times that confirms Trump pays virtually no taxes, remember when Trump bragged…"
111,Mon Sep 28 13:32:37 +0000 2020,RT @MadieRes: @cupofjoe776 @kylegriffin1 Taxpayers are paying him every time he stays at a trump property and we have to foot the bill for…
112,Mon Sep 28 13:32:37 +0000 2020,"RT @ananavarro: Trump draft deferments - fraud
Trump University - fraud
Trump Charitable Foundation  - fraud
Trump bank loan applications -…"
113,Mon Sep 28 13:32:37 +0000 2020,"Again, I’m seeing lefties such as my fellow Bernie- and Tulsicrats, some of whom consider themselves social liberta… https://t.co/d7V1nKuoVm"
114,Mon Sep 28 13:32:37 +0000 2020,"RT @HKrassenstein: Why isn’t Breitbart reporting on this?

Trump Sold a $40 Million Estate to a Russian Oligarch for $100 Million.

“But Hu…"
115,Mon Sep 28 13:32:37 +0000 2020,"RT @BBCWorld: Can Donald Trump release his tax returns?
The US President says they are currently being audited and that he won't release th…"
116,Mon Sep 28 13:32:37 +0000 2020,#BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow  #JavaScript #ReactJS… https://t.co/ePkrfmhVW7
117,Mon Sep 28 13:32:37 +0000 2020,"RT @brucegreene: I'm tired of seeing people complain on Twitter. I know that we are all going through some of the toughest shit ever.

So R…"
118,Mon Sep 28 13:32:37 +0000 2020,RT @GopKeyboard: @Patriot5611 #FightBack Get the by laws of the HOA and read them . Educate yourself thoroughly. Knowledge is power . HOA’s…
119,Mon Sep 28 13:32:37 +0000 2020,"@DonaldJTrumpJr EVERYONE KNOWS you're just projecting now Junior.
We don't believe anything from ANY #Trump - 
except Mary."
120,Mon Sep 28 13:32:37 +0000 2020,"RT @_cingraham: Federal taxes paid, first year in office

Ronald Reagan: $165,202
George H.W. Bush: $101,382
Bill Clinton: $62,670
George W…"
121,Mon Sep 28 13:32:37 +0000 2020,RT @JuddLegum: 1. The PA Republicans plotting to set aside the popular vote and directly appoint pro-Trump electors are backed by prominent…
122,Mon Sep 28 13:32:37 +0000 2020,RT @TheBrianHaner: How did Mueller do a 2 year investigation into Russia collusion and miss a 3.5 million dollar payment to Hunter Biden?
123,Mon Sep 28 13:32:37 +0000 2020,RT @JohnJHarwood: “The picture that perhaps emerges most starkly from the figures and tax schedules is of a businessman-president in a tigh…
124,Mon Sep 28 13:32:37 +0000 2020,RT @steant_pros: @pnjaban @nedryun See Hollywood is tweeting about the issue . All of them use LLC's/S-Corps/Corps to file taxes. Why do th…
125,Mon Sep 28 13:32:37 +0000 2020,"RT @DanAlexander21: 9/ There's also a loan against the DC hotel. The mortgage, which you can see below, lists it at $170M. The NYT reports…"
126,Mon Sep 28 13:32:37 +0000 2020,‘This is the smoking gun’: Carl Bernstein claims Trump’s taxes expose his ‘grifter presidency’ -… https://t.co/CUNf5sonzK
127,Mon Sep 28 13:32:37 +0000 2020,@christina_bobb @realDonaldTrump @POTUS It’s crazy! How many #FakeNews stories have they published? Yet people stil… https://t.co/kMf4HNOryX
128,Mon Sep 28 13:32:37 +0000 2020,RT @heather_giron: Texas is Trump Country💕 The silent majority isn't silent anymore! We want four more years of Donald J. Trump🙌🏼 #MAGA #Tr…
129,Mon Sep 28 13:32:37 +0000 2020,"RT @SethAbramson: Today is a good day to remind everyone that Donald Trump called our soldiers ""losers and suckers"" while he was defrauding…"
130,Mon Sep 28 13:32:37 +0000 2020,I think I'd be safe to bet that Joe Biden is one of the names that is hidden from the public as one that is named i… https://t.co/2g5NJtpAJD
131,Mon Sep 28 13:32:37 +0000 2020,RT @seanhannity: Delaware State University denies Biden was a student after claim he ‘got started’ there https://t.co/UoinoBSm1x
132,Mon Sep 28 13:32:37 +0000 2020,"RT @politicususa: Michael Cohen says Donald Jr., Ivanka, Eric, and the entire Trump family are involved in Donald Trump's tax evasion schem…"
133,Mon Sep 28 13:32:37 +0000 2020,"RT @AnandWrites: One is the Arsonist-Firefighter Paradox.

Donald Trump claiming that he uniquely could fix government when he was causing…"
134,Mon Sep 28 13:32:37 +0000 2020,"RT @CaslerNoel: Mark Burnett knew Trump was broke, production had to rent office furniture to make him look wealthy on season one of ‘Appre…"
135,Mon Sep 28 13:32:37 +0000 2020,Grifters gotta grift
136,Mon Sep 28 13:32:37 +0000 2020,"RT @DanAlexander21: 12/ In Chicago, Trump lists two loans on his financial disclosure report. One for $25-50M and one for $50M+. These are…"
137,Mon Sep 28 13:32:37 +0000 2020,"@DrShayPhD LOL, thankfully that is not Trump's style, but I feel the same way. Trump could trip over the lamp cord… https://t.co/4m2rKJm9Su"
138,Mon Sep 28 13:32:37 +0000 2020,"#Trumpout
トランプ大統領の納税額ついに判明⇨750ドルだった　NYTのスクープに本人は「フェイクニュース！」 https://t.co/b2kdQpjMFG #スマートニュース"
139,Mon Sep 28 13:32:37 +0000 2020,RT @tribelaw: Trump’s creditors have him by the balls. That puts them in position to squeeze us all as long as he’s president. Two takeaway…
140,Mon Sep 28 13:32:37 +0000 2020,"RT @jimsciutto: Federal taxes paid 2016 &amp; 2017, Trump (via NYT): 

$750

Federal taxes paid, average US taxpayer (via IRS)

$12,200"
141,Mon Sep 28 13:32:37 +0000 2020,"@IndyEnt @MichaelCoudrey @DonaldJTrumpJr Well, Hunter Biden isn't. now is he?"
142,Mon Sep 28 13:32:37 +0000 2020,"RT @SethAbramson: All these years in, and I think people still don't fully process, when they hear Trump speak, how often he is lying in ea…"
143,Mon Sep 28 13:32:37 +0000 2020,"RT @PrissyCrow: If you're voting for Biden/Harris, retweet this so I can follow you!"
144,Mon Sep 28 13:32:37 +0000 2020,@gregolear That's why I hope Trump brings up Hunter at the debate. Biden will have a field day with the nepotism &amp;… https://t.co/2JOI0j4iC3
145,Mon Sep 28 13:32:37 +0000 2020,RT @CalebJHull: Biden becoming Vice President and funneling millions of dollars from foreign entities to his family is of far more interest…
146,Mon Sep 28 13:32:37 +0000 2020,RT @heather_giron: Texas is Trump Country💕 The silent majority isn't silent anymore! We want four more years of Donald J. Trump🙌🏼 #MAGA #Tr…
147,Mon Sep 28 13:32:38 +0000 2020,"RT @MichaelEMann: We can't CONVINCE Trump's base. They're immune to fact and reason. But we can DEFEAT them. 

They amount to ~25% of regis…"
148,Mon Sep 28 13:32:38 +0000 2020,"RT @Jillbiden46: In case you’re just waking up.... Trump Tax Returns is still trending.

Reply with #TrumpTaxReturns to keep it trending th…"
149,Mon Sep 28 13:32:38 +0000 2020,"RT @MaddowBlog: “Mr. Trump, by contrast, is running a federal government to which he has contributed almost no income tax revenue in many y…"
150,Mon Sep 28 13:32:38 +0000 2020,RT @Scaramucci: Trump’s taxes show he’s a national security threat https://t.co/LIy8MY1tix
151,Mon Sep 28 13:32:38 +0000 2020,RT @TheUSASingers: Trump is so broke that he’s going to have to pay Melania’s prenup with leftover MAGA hats.
152,Mon Sep 28 13:32:38 +0000 2020,"Trump’s political supporters in Congress are showing their true colors by supporting this FAILURE, I believe a deep… https://t.co/I4X8snaQKB"
153,Mon Sep 28 13:32:38 +0000 2020,"RT @_chrisgarcia: In 2017, Trump paid $750 in taxes. That same year undocumented immigrants paid over 27 Billion. Remind me, who’s the burd…"
154,Mon Sep 28 13:32:38 +0000 2020,RT @perlmutations: Scumbags like trump pay $750 in federal taxes while suckers and losers like you and me pick up the full freight for our…
155,Mon Sep 28 13:32:38 +0000 2020,Did anyone else hear Biden’s “yes we can” “ red white and blue” speech sound familiar
156,Mon Sep 28 13:32:38 +0000 2020,"RT @GodfreyForOH16: Trump already knows so much classified intel. And now, thanks to @nytimes and the #TrumpTaxReturns, we know how in trou…"
157,Mon Sep 28 13:32:38 +0000 2020,"RT @bennyjohnson: Great work ⁦@JamesOKeefeIII⁩

Donald Trump demands US attorneys launch an investigation into Ilhan Omar over 'harvested b…"
158,Mon Sep 28 13:32:38 +0000 2020,"RT @JonLemire: ""Everything he says is false,"" says CDC head Robert Redfield, in overheard phone call, of new Trump COVID-19 adviser Dr. Sco…"
159,Mon Sep 28 13:32:38 +0000 2020,RT @funder: BREAKING: A federal judge just blocked Trump’s TikTok ban
160,Mon Sep 28 13:32:38 +0000 2020,RT @clairecmc: The Trump tax story is a national security story.
161,Mon Sep 28 13:32:38 +0000 2020,RT @EddieZipperer: Morning Joe thinks normal people will get so mad at @realDonaldTrump for not having a big enough tax bill that we'll all…
162,Mon Sep 28 13:32:38 +0000 2020,"@acnewsitics When Trump supporters don’t realize Donald Trump is helping defund police, firefighters, infrastructure by not paying taxes."
163,Mon Sep 28 13:32:38 +0000 2020,RT @PoliticusSarah: Fox News dedicated coverage to President Donald Trump’s former rival Hillary Clinton the morning after The New York Tim…
164,Mon Sep 28 13:32:38 +0000 2020,@rnxylon @ProjectLincoln Yeah.  Go vote for Trump. And get out of here.
165,Mon Sep 28 13:32:38 +0000 2020,RT @redsteeze: Joe Biden won’t even answer if he’ll pack the Supreme Court. His Senate records are still sealed after being accused of sexu…
166,Mon Sep 28 13:32:38 +0000 2020,RT @physicsgeek: So all of the REEEE REEEE REEEE about Trump's $750 tax payment is not only irrelevant per the current tax laws and legally…
167,Mon Sep 28 13:32:38 +0000 2020,RT @jstmeinmo: Remember when Donald Trump was more worried about Obama’s birth certificate than paying his taxes?
168,Mon Sep 28 13:32:38 +0000 2020,RT @gary_kline: @bennyjohnson @Project_Veritas This is bogus. The real HUGE scoop right now is the unprecedented reveal on Trump's tax retu…
169,Mon Sep 28 13:32:38 +0000 2020,The only people who think he's a mastermind are supporters.
170,Mon Sep 28 13:32:38 +0000 2020,"🚨🧵
#TrumpTaxReturns 
#MondayMotivation 
#MondayMorning
Ivanka"
171,Mon Sep 28 13:32:38 +0000 2020,RT @ProjectLincoln: So a .00000000032% tax rate.
172,Mon Sep 28 13:32:38 +0000 2020,"RT @mmcintire: BREAKING: President Trump won’t release his tax returns, but we now know what’s in them. Here’s what we found w/@russbuettne…"
173,Mon Sep 28 13:32:38 +0000 2020,"RT @TimMurtaugh: Question of the day for Joe Biden
 
What are some of your best memories of Homecoming during your student days at Delaware…"
174,Mon Sep 28 13:32:38 +0000 2020,"@sunlorrie Keep going ...

Trump and JFK.  Good company."
175,Mon Sep 28 13:32:38 +0000 2020,"Not ""The Onion"""
176,Mon Sep 28 13:32:38 +0000 2020,"RT @joncoopertweets: So, Donald Trump is BANKRUPT. Anyone really surprised?"
177,Mon Sep 28 13:32:38 +0000 2020,"Aw, poor you. Someone grab him a tissue. https://t.co/ekB1VqlGqO"
178,Mon Sep 28 13:32:38 +0000 2020,RT @_sbrett_: There are people in Florida who can’t vote in this election because they owe more in *court fees* for *one case* than Donald…
